Coffee_Shop_Name,Review Title,Rating,Cat_Rate,Bool_HIGH,Tea_Rate,Service_Rate,Seating_Rate,Parking_Rate
,All round great hotel in London,5,HIGH,1,0,0,0,0
,Chic hotel!,5,HIGH,1,0,0,0,0
,A little gem,4,HIGH,1,0,0,0,-1
,Excellent yet again,4,HIGH,1,0,0,0,0
,Beautiful hotel but bedroom let it down,3,LOW,0,0,0,0,0
,Superb,4,HIGH,1,0,0,0,0
,Perfect rooms,4,HIGH,1,0,0,0,0
,Marg Davies & Co,1,LOW,0,0,-3,0,0
,Mondrian hotel - great location,4,HIGH,1,0,1,0,0
,"High prices, mediocre stay",4,HIGH,1,0,0,1,0
,A good business hotel for one or two nights,5,HIGH,1,0,0,1,0
,Exceptional hotel,4,HIGH,1,0,0,1,0
,Good for short stay.,3,LOW,0,0,0,0,0
,"<U+0434><U+043E><U+0440><U+043E><U+0433><U+043E>, <U+043D><U+043E> <U+0441><U+043E> <U+0432><U+043A><U+0443><U+0441><U+043E><U+043C>",5,HIGH,1,0,0,0,0
,warm friendly and relaxing,5,HIGH,1,0,0,0,0
,Squeaky clean establishment,4,HIGH,1,0,0,0,0
,Afternoon tea in Lobby Lounge and a tour of hotel.,5,HIGH,1,0,0,1,0
,One of the best hotel in London,5,HIGH,1,0,0,0,0
,High tea cannot be better,3,LOW,0,0,0,0,-1
,Wedding Day - Magical,4,HIGH,1,2,-3,0,2
,Flawless,1,LOW,0,-1,-1,0,0
,THE VERY BEST!,5,HIGH,1,0,1,0,0
,<U+0418><U+0434><U+0435><U+0430><U+043B><U+044C><U+043D><U+043E><U+0435> <U+043C><U+0435><U+0441><U+0442><U+043E> <U+0434><U+043B><U+044F> <U+043E><U+0442><U+0434><U+044B><U+0445><U+0430> <U+0432> <U+0446><U+0435><U+043D><U+0442><U+0440><U+0435> <U+041B><U+043E><U+043D><U+0434><U+043E><U+043D><U+0430>!!!!!,4,HIGH,1,0,0,0,0
,Wonderful hotel but not for Christmas,4,HIGH,1,0,0,0,0
,Outstanding Hotel,5,HIGH,1,0,2,1,0
,Could this be the best hotel in the world?,3,LOW,0,0,0,0,0
,di buono ha solo la posizione,5,HIGH,1,0,0,0,0
,Fabulous Hot Spot Hotel,4,HIGH,1,0,0,0,0
,Fancy hotel with great location!,1,LOW,0,0,0,0,0
,The Savoy,5,HIGH,1,0,0,0,0
,Loved every minute of my stay,5,HIGH,1,0,0,0,0
,Virkelig rart sted at bo,4,HIGH,1,0,0,0,0
,"Ottimo in tutto, o quasi",5,HIGH,1,0,1,0,0
,Fantastic Experience,5,HIGH,1,0,1,0,0
,Hotel familiar,4,HIGH,1,0,0,0,0
,A happy stay in London,1,LOW,0,0,0,0,0
,Brilliant!,5,HIGH,1,0,0,0,0
,Didnt meet expectations...,5,HIGH,1,0,0,0,0
,Great rooms,4,HIGH,1,0,0,0,0
,"Linda Campbell, Alabama USA",3,LOW,0,0,0,0,0
,Excelente,5,HIGH,1,0,0,0,0
,Perfect Hotel in London,4,HIGH,1,0,0,0,0
,We Felt Like Family!,3,LOW,0,0,0,0,0
,Great stay ...BUT!,5,HIGH,1,0,1,0,0
,"Ottima posizione, grande cortesia",5,HIGH,1,0,1,0,0
,Amazing hotel,4,HIGH,1,0,2,0,0
,A five star hotel delivering 5 star service,4,HIGH,1,0,2,0,0
,Gorgeous Tea Afternoon,5,HIGH,1,0,0,0,0
,Wonderful!,2,LOW,0,0,0,0,0
,Nice upscale hotel,5,HIGH,1,0,0,1,0
,Birthday weekend made special,4,HIGH,1,0,0,0,0
,"Lovely building, great restaurant, rude management",5,HIGH,1,0,2,0,0
,Theatre Visit,5,HIGH,1,0,0,0,0
,The Dorchester,4,HIGH,1,0,0,1,0
,Unbelievable,2,LOW,0,0,0,0,0
,El hotel perfecto en Londres,5,HIGH,1,0,2,0,0
,Uovertruffen service,4,HIGH,1,0,0,0,0
,Honeymoon at The Rembrandt,5,HIGH,1,0,2,0,0
,a little on the old side,5,HIGH,1,0,2,0,0
,The best customer service in the world?!,5,HIGH,1,0,2,2,0
,Another highlight on Park Lane,5,HIGH,1,3,0,0,0
,Great deal & good location,5,HIGH,1,1,0,0,0
,"A nice, cozy and friendly hotel with good value",5,HIGH,1,0,0,0,0
,Worth a visit,5,HIGH,1,0,0,0,0
,Perfect City Hotel with Fab Design,5,HIGH,1,0,2,0,0
,Why do pompous?,3,LOW,0,0,0,0,0
,High Tea im Dorchester – ein Höhepunkt bei jeder Englandreise,4,HIGH,1,0,0,0,0
,Stunning London Hotel Mondrian with the personal touch,2,LOW,0,0,0,0,0
,"Filthy, Unhygienic",5,HIGH,1,0,0,0,0
,Love this place,4,HIGH,1,0,2,1,0
,American Bar review,4,HIGH,1,0,0,0,0
,Beautiful,5,HIGH,1,0,0,0,0
,Great location,3,LOW,0,0,0,0,0
,<U+670D><U+52D9><U+4E00><U+6D41>,5,HIGH,1,0,0,0,0
,Excellent!,5,HIGH,1,0,1,0,0
,Beautiful hotel and excellent service,4,HIGH,1,0,0,0,0
,Carino,4,HIGH,1,0,0,0,0
,I tried to like it...,5,HIGH,1,0,2,0,0
,"gut, sauber, freundlich - ideal für Kurztrips",5,HIGH,1,0,0,0,0
,ponte immacolata,3,LOW,0,0,0,-2,0
,A wonderful experience.,5,HIGH,1,0,0,2,0
,Beautiful classic hotel,5,HIGH,1,0,0,1,0
,Alto livello,5,HIGH,1,0,0,1,0
,Amazing evening with old friends at The Savoy,5,HIGH,1,0,2,0,0
,Best Deep Tissue massage in London at the Agua Spa at the Mondrian Hotel,4,HIGH,1,0,0,0,0
,The perfect place if you want to start your stay in London,4,HIGH,1,0,0,0,0
,Choose an Art Deco room for sure...,5,HIGH,1,0,2,0,0
,Top stay,4,HIGH,1,0,0,0,0
,"Location, room, and service outstanding",4,HIGH,1,0,0,0,0
,overnight stay,5,HIGH,1,0,0,1,0
,Another great stay!,5,HIGH,1,0,3,1,0
,Hotel impecável em todos os sentidos.,5,HIGH,1,0,0,0,0
,Top Notch Accommodations in London,5,HIGH,1,0,0,0,0
,un bel hotel,4,HIGH,1,0,0,0,0
,"Super Hotel, unschlagbarer Preis, tolle Lage",5,HIGH,1,0,0,1,0
,The Mondrian is well worth a visit!,3,LOW,0,0,0,0,0
,Very clean and very friendly though CS sub par.,3,LOW,0,0,1,0,0
,Fantastic small Curzon cinema,5,HIGH,1,0,0,0,0
,Very much a 5 star experience,3,LOW,0,0,0,1,1
,Great stay,4,HIGH,1,0,2,1,0
,Great location and hotel,5,HIGH,1,0,0,0,0
,EXCELLENT ALL THE WAY AROUND,3,LOW,0,0,0,0,0
,"Clean, Clean, Clean",3,LOW,0,0,0,2,0
,AMAZING!!,4,HIGH,1,0,2,2,0
,"Beautiful, vibey hotel",4,HIGH,1,0,0,0,0
,<U+0644><U+0646><U+062F><U+0646> <U+0641><U+0646><U+062F><U+0642> <U+0628><U+0644><U+063A><U+0627><U+0631><U+064A>,5,HIGH,1,0,2,2,0
,After theatre drinks,5,HIGH,1,0,2,0,0
,A comforting experience,4,HIGH,1,0,0,-1,0
,An excellent Christmas lunch with colleagues,3,LOW,0,0,0,0,0
,Perfect hotel!,5,HIGH,1,0,2,0,0
,Praktisch für Kurztripp,5,HIGH,1,0,0,0,0
,Outstanding.,5,HIGH,1,0,0,0,0
,Great time in London and The Rembrandt,4,HIGH,1,0,0,0,0
,Camera piccolissima !,5,HIGH,1,0,0,0,0
,I don't get it,5,HIGH,1,0,0,0,0
,The Wellesley Hotel,5,HIGH,1,0,4,0,0
,Great vibe! Poor food!,2,LOW,0,0,0,0,-1
,Not value for money and quite frankly a huge dissapointment!!,4,HIGH,1,0,0,0,0
,business hotel in the city,5,HIGH,1,0,0,0,0
,Amazing,5,HIGH,1,0,1,0,1
,Great location and enthusiastic staff,5,HIGH,1,0,0,0,0
,Fantastic hotel,4,HIGH,1,0,0,-1,0
,Truly A 5% Star Experience,5,HIGH,1,0,2,1,0
,Value for money!,5,HIGH,1,0,2,0,0
,Dinner for three,4,HIGH,1,0,0,0,0
,Fabulous,5,HIGH,1,0,0,0,0
,"No service, no ammenities, nothing",5,HIGH,1,0,0,0,0
,Good service and an enjoyable stay,3,LOW,0,0,0,0,0
,Beautiful,5,HIGH,1,0,-1,0,0
,"Snooty Doormen, Small Rooms but unmistakingly Mandarin",5,HIGH,1,0,0,2,0
,Married at the Dorchester....exquisite hotel!,2,LOW,0,0,1,0,0
,Komfortabel und zentral,5,HIGH,1,0,2,0,0
,"Great location, fantastic staff",5,HIGH,1,0,0,0,-1
,The best you'll find for the price!,4,HIGH,1,0,1,0,0
,Short stay,5,HIGH,1,0,2,0,0
,Very good on all aspects,5,HIGH,1,0,0,0,0
,lovely hotel,5,HIGH,1,0,2,0,0
,Fantastico hotel!,5,HIGH,1,0,3,0,0
,Loved the Ridgemount Hotel,5,HIGH,1,0,0,2,0
,The feel of real luxury in the heart of London,4,HIGH,1,0,1,0,0
,Teething problems?,2,LOW,0,0,-2,0,0
,Simply Outstanding,2,LOW,0,0,0,0,0
,Great hotel top location and quality experience,5,HIGH,1,0,2,0,0
,We are going back,5,HIGH,1,0,0,0,0
,"A Fairmont Hotels ""Treasure"" in London exactly where you want to be",5,HIGH,1,0,0,2,0
,The lap of luxury,5,HIGH,1,2,0,0,0
,Very nice hotel! Great location!,4,HIGH,1,0,0,0,0
,Worth the price you pay,5,HIGH,1,0,2,0,0
,<U+826F><U+3044><U+30DB><U+30C6><U+30EB><U+3067><U+3059>!,5,HIGH,1,0,0,0,0
,My favourite hotel in London,5,HIGH,1,0,0,1,0
,Classy,5,HIGH,1,0,2,0,0
,"Not impressed by the hotel nor the steely eyed, unfavourable staff -",5,HIGH,1,0,0,0,0
,I can't go back,5,HIGH,1,0,0,0,0
,Always Welcoming,5,HIGH,1,0,0,0,0
,Another stay at The Rembrandt,5,HIGH,1,0,2,0,0
,A wonderful experience,5,HIGH,1,0,0,0,0
,Cupboard room - not happy,5,HIGH,1,0,2,0,0
,Trip to Albert Hall,5,HIGH,1,0,0,0,0
,Accueillant et chaleureux,5,HIGH,1,0,3,0,0
,Reasonable. Enjoyed a few nights in the larger suites.,4,HIGH,1,0,0,0,0
,Superb stay. Perfect hotel,5,HIGH,1,0,2,0,0
,Second time and things are getting good...,5,HIGH,1,0,0,0,0
,An experience!,5,HIGH,1,0,1,0,0
,Absolutely Superb!,5,HIGH,1,0,1,0,0
,Myths & legends,5,HIGH,1,0,3,0,0
,Perfect trip for a special occasion,5,HIGH,1,0,0,0,0
,"Great location, big room",5,HIGH,1,0,0,0,0
,Rumpus Room,5,HIGH,1,0,2,0,0
,Amazing!,5,HIGH,1,0,0,0,0
,Luxury personified,5,HIGH,1,0,0,0,1
,Very welcoming,4,HIGH,1,0,0,0,0
,I hope to come and for the fourth time,5,HIGH,1,0,0,0,0
,Trip to London,5,HIGH,1,0,2,2,0
,Pleasantly surprised,5,HIGH,1,0,0,0,0
,Small but perfectly formed,2,LOW,0,0,0,0,0
,Stylish spot by the river,5,HIGH,1,0,0,0,0
,Great location and value for money near the centre of London,5,HIGH,1,0,0,0,0
,"Luxurious hotel, a real treat.",5,HIGH,1,0,0,0,0
,Lovely hotel but not the best London has to offer,5,HIGH,1,0,0,0,0
,Fantastic Hotel,3,LOW,0,0,2,0,0
,Uno dei migliori,5,HIGH,1,0,2,0,0
,London at its Best,4,HIGH,1,2,0,0,0
,Increíble ubicación,2,LOW,0,0,0,0,0
,"Excellent location, reasonable value",4,HIGH,1,0,0,0,0
,A lot of money for the suite but the stay was not perfect,5,HIGH,1,0,0,0,0
,Cocktails before dinner at the oxo brasserie,5,HIGH,1,0,0,0,0
,Afternoon tea,5,HIGH,1,0,2,1,0
,Blanker Horror!!!!!!!!!!!,5,HIGH,1,0,0,0,0
,A memorable night,5,HIGH,1,0,0,0,0
,"Great location, great service, great renovations",5,HIGH,1,0,0,0,0
,Wonderful stay and helpful staff!,5,HIGH,1,0,2,0,0
,"Beautiful hotel, wonderful service",5,HIGH,1,0,1,0,0
,A change,4,HIGH,1,0,0,0,0
,Weekend in London,5,HIGH,1,0,0,0,0
,Absolutely amazing,5,HIGH,1,2,0,0,0
,Afternoon tea with mother,3,LOW,0,0,0,0,0
,A Last Minute Decision,5,HIGH,1,0,0,0,0
,Súper hotel,5,HIGH,1,0,0,0,0
,Zakenhotel met een romantische uitstraling,5,HIGH,1,0,3,0,0
,Ottimo hotel,5,HIGH,1,0,2,0,0
,O2 visit,5,HIGH,1,0,0,0,0
,Great birthday experience,5,HIGH,1,0,0,0,0
,Excelent,5,HIGH,1,0,0,0,0
,A wonderful treat,5,HIGH,1,0,0,0,0
,Night at the Savoy Hotel.,5,HIGH,1,0,1,0,0
,"This hotel bills itself as five stars, but...",5,HIGH,1,0,1,0,1
,Nice hotel with friendly staff,4,HIGH,1,0,1,0,0
,Londra old style,5,HIGH,1,0,0,0,0
,Agradable experiencia,5,HIGH,1,0,2,0,0
,An amazing hotel,2,LOW,0,1,2,0,0
,Stylish and great location,3,LOW,0,0,0,0,0
,Great location for visiting London,5,HIGH,1,0,2,0,0
,Nightmares,5,HIGH,1,0,0,0,0
,Mysigt hotell med kanonbra läge,5,HIGH,1,0,0,0,0
,Great afternoon tea,5,HIGH,1,0,0,0,0
,Incredible experience,5,HIGH,1,0,2,0,0
,Perfect place for your London stay,5,HIGH,1,0,0,0,0
,Small sized hotel offers great experience.,5,HIGH,1,0,0,0,0
,One of the best service,4,HIGH,1,0,0,0,0
,"Great Stay, fab room",5,HIGH,1,0,2,0,0
,Expensive hotel and small room,5,HIGH,1,0,0,0,0
,Exceptional staff,5,HIGH,1,0,0,0,0
,Exceptional Staff,4,HIGH,1,0,0,0,0
,"Iconic, Incredible, Inimitable",3,LOW,0,0,1,0,0
,Wonderful afternoon tea experience!,4,HIGH,1,0,0,0,0
,Family,4,HIGH,1,0,0,0,0
,Quando si dice l'eleganza,5,HIGH,1,-1,0,0,0
,Memorable stay,5,HIGH,1,0,1,0,0
,THE nicest place we've ever stayed!,5,HIGH,1,0,0,0,0
,Fabulous venue,4,HIGH,1,0,3,0,0
,Girls' weekend city break,5,HIGH,1,0,0,0,0
,Wonderfully Grand Hotel,5,HIGH,1,0,0,0,0
,What an experience,5,HIGH,1,0,0,0,0
,excelent,5,HIGH,1,0,0,0,0
,parfait,5,HIGH,1,0,0,0,0
,Great Staff,5,HIGH,1,0,0,0,0
,Shame on the Savoy!,5,HIGH,1,0,0,0,0
,Perfect for the best Thames View in London,5,HIGH,1,0,3,0,-1
,Excellentes nuits,5,HIGH,1,0,0,0,0
,Mixed,5,HIGH,1,0,2,0,0
,Weekends just don't get any better!,5,HIGH,1,0,0,0,0
,Afternoon tea,5,HIGH,1,0,0,0,0
,Top hotel magnifique piscine,4,HIGH,1,0,0,0,2
,Loved it!,5,HIGH,1,0,0,0,0
,Afternoon Tea,4,HIGH,1,0,0,0,0
,Amazing place for staying in London,4,HIGH,1,2,3,0,0
,Perfect!,5,HIGH,1,0,0,0,0
,Great location... but!,5,HIGH,1,0,0,0,0
,Very Luxurious Hotel right in the heart of London,5,HIGH,1,0,2,0,0
,Easter Weekend Break,4,HIGH,1,0,0,0,0
,Comfortable traditional hotel in great location,5,HIGH,1,0,0,0,0
,Let down! A quirky 3* at most!,5,HIGH,1,0,0,0,0
,Brilliant find,5,HIGH,1,0,1,0,0
,Excellant,4,HIGH,1,0,0,0,0
,"Excellent location, comfortable, well-managed, good value",1,LOW,0,0,0,0,0
,Excellent in every way,5,HIGH,1,0,0,0,0
,Luxurious,5,HIGH,1,0,2,0,0
,Incredible Place,5,HIGH,1,0,3,0,0
,A Cut Above the Rest,4,HIGH,1,0,0,0,0
,Wonderful hospitality and impeccable cleanliness,5,HIGH,1,0,2,0,0
,Erholsame Tage in London,5,HIGH,1,0,0,0,0
,Very nice hotel with fantastic spa facilities,1,LOW,0,0,0,0,0
,Wonderful indulgence!,5,HIGH,1,0,0,0,0
,Ottimo soggiorno,4,HIGH,1,0,2,0,0
,Fantastic,2,LOW,0,0,0,0,0
,Sehr stylisches Hotel in perfekter Lage,5,HIGH,1,0,2,0,0
,Lovely hotel,5,HIGH,1,0,1,0,0
,Fabulous,4,HIGH,1,0,1,0,0
,What a perfect weekend!,5,HIGH,1,0,0,0,0
,"Comfortable rooms, Excellent restaurants, incomparable service",5,HIGH,1,0,0,0,0
,Amazing!,4,HIGH,1,2,0,0,0
,True British Heritage Experience,3,LOW,0,0,-1,0,-1
,This is the best hotel I've ever stayed in.,5,HIGH,1,0,0,0,0
,<U+2765>•<U+266A><U+266B>¸¸.<U+2606>¨A place to play like a pirate!,5,HIGH,1,0,0,0,0
,Birthday Celebration,5,HIGH,1,0,0,0,0
,Do you need 5 stars to charge £6.50 for a cup of tea?,5,HIGH,1,0,0,0,0
,Very comfortable stay,2,LOW,0,0,-2,0,0
,Brilliant atay,4,HIGH,1,0,0,0,0
,Quintessential luxury London hotel,5,HIGH,1,0,0,0,0
,FORMIDABLE EXPERIENCE IN THE RIVER VIEW SUITE!,5,HIGH,1,0,3,0,0
,Great place to stay when visiting Kensington area,5,HIGH,1,0,0,1,0
,"great public areas, trendy but service not great",5,HIGH,1,0,3,0,0
,Ottimo hotel,4,HIGH,1,0,0,1,0
,Worth every penny,5,HIGH,1,0,0,0,2
,Flash Hotel in London,4,HIGH,1,-1,0,0,0
,Brilliant Birthday Treat...again,3,LOW,0,0,0,0,0
,Family trip,4,HIGH,1,0,0,0,0
,Good all round hotel,5,HIGH,1,0,2,0,0
,You really cannot fault this place apart from 1 thing,4,HIGH,1,0,0,0,0
,The little things.,4,HIGH,1,0,0,0,0
,Perfect Dinner with great view,4,HIGH,1,0,1,0,0
,Excellent Location,4,HIGH,1,0,1,0,0
,Great hotel to stay in,1,LOW,0,0,0,0,0
,Bel et bien placé,5,HIGH,1,0,0,1,0
,So special,5,HIGH,1,0,0,0,0
,1st Class,4,HIGH,1,0,0,0,0
,Second time visiting,3,LOW,0,0,0,0,0
,One night business stay,4,HIGH,1,0,2,0,0
,"As average as it gets, except for the breakfast!",5,HIGH,1,0,0,0,0
,Enjoyable and comfortable stay.,4,HIGH,1,0,0,0,0
,"Ideally located, a special place in London.",5,HIGH,1,0,1,0,-1
,In London you get what you pay for.,4,HIGH,1,0,0,0,0
,this is the best hotel we have ever stayed in,5,HIGH,1,0,2,0,3
,Beaufort Bar is Big City magic . . .,3,LOW,0,0,1,0,0
,Great place to stay!,4,HIGH,1,0,3,0,0
,Ottimo,3,LOW,0,0,0,0,0
,Familyvaccation,5,HIGH,1,0,0,0,0
,Professionally Run Family Hotel,5,HIGH,1,0,0,0,0
,Amazing afternoon tea,4,HIGH,1,0,0,0,0
,Empfehlenswerte Wohnlage,5,HIGH,1,0,0,0,0
,Mandarin Oriental in The BEST!,5,HIGH,1,0,0,0,0
,Mrs,5,HIGH,1,0,0,0,0
,Great vist to London!,5,HIGH,1,0,0,1,0
,Great lunch and drinks,5,HIGH,1,0,1,0,0
,"a great find,we will return.",5,HIGH,1,0,0,0,0
,Wonderful,4,HIGH,1,0,2,0,0
,Great Hotel,1,LOW,0,0,0,0,0
,Hat mit Mariott nichts zu tun. Den Aufenthalt einfach schnell vergessen.,5,HIGH,1,0,0,0,0
,<U+6539><U+88C5><U+3057><U+3066><U+7DBA><U+9E97><U+306B><U+306A><U+308A><U+307E><U+3057><U+305F>,5,HIGH,1,0,0,0,0
,Designer,4,HIGH,1,0,2,0,0
,Attention to details in a great location.,5,HIGH,1,0,0,0,0
,Bad experience,5,HIGH,1,0,0,0,0
,Fabuloso,5,HIGH,1,0,2,2,0
,Friendly and Helpful B&B,5,HIGH,1,0,0,0,0
,"Back again, and still loving the Corinthia",5,HIGH,1,0,1,0,0
,pochi giorni...ma buoni!,3,LOW,0,0,0,0,-1
,affordable and friendly base to explore London,5,HIGH,1,0,0,0,0
,"Oustanding hotel, staff and food.",5,HIGH,1,0,0,0,0
,Afternoon tea,3,LOW,0,0,0,0,0
,Didn't live up to expectation,3,LOW,0,0,0,0,0
,An afternoon in High Society,5,HIGH,1,0,0,0,0
,End of succesful business year and end of year meeting,5,HIGH,1,0,0,0,0
,Best Hotel in London! Your Expectations will be Exceeded at Every Turn!,4,HIGH,1,0,0,0,0
,Another great stay at the Mondrian London! No doubt ill be down there again soon!,2,LOW,0,0,0,0,0
,Best hotel experience ever!,5,HIGH,1,0,2,0,0
,My husbands birthday,5,HIGH,1,0,0,0,0
,Amazing!,5,HIGH,1,2,1,0,0
,Realising a dream,1,LOW,0,0,-3,0,0
,Valentine's day stay,3,LOW,0,0,0,0,-1
,Very nice AFTER we changed rooms,5,HIGH,1,0,2,0,0
,1 Night Romantic Stay,5,HIGH,1,0,0,0,0
,Personal Service Perfection,5,HIGH,1,0,0,0,0
,Interesting,5,HIGH,1,0,0,0,0
,excellent hotel,4,HIGH,1,0,0,0,0
,Second home,5,HIGH,1,0,1,0,0
,Hmmm...,5,HIGH,1,0,0,0,0
,"Awesome location, super cool property",4,HIGH,1,0,0,0,-1
,A Real Pleasure................................,3,LOW,0,0,0,0,0
,Where life-long memories are made,5,HIGH,1,0,1,0,0
,Return visit - didn't disappoint,5,HIGH,1,0,0,0,0
,Christmas meal in the Orchid Room/Holford Room,5,HIGH,1,0,0,0,0
,Fabulous!!!,4,HIGH,1,0,2,0,0
,Pure luxury,5,HIGH,1,0,0,0,0
,Lovely hotel,3,LOW,0,0,0,2,0
,Nearly great,4,HIGH,1,0,0,0,0
,OVERATED,4,HIGH,1,0,0,0,0
,Fantastic hotel and spa,5,HIGH,1,0,0,0,0
,All is well at London Guest House,5,HIGH,1,0,0,0,0
,A Problem,5,HIGH,1,0,0,0,0
,I want to agree...,5,HIGH,1,0,1,0,0
,"Nice, small, comfortable, homelike",4,HIGH,1,0,-1,0,0
,Jeder Zeit ein Aufenthalt wert.,5,HIGH,1,0,0,0,0
,OK As A Young Foreign Visitors Base,5,HIGH,1,0,0,0,0
,True Quality and Perfection,5,HIGH,1,0,2,1,-1
,Excellent,5,HIGH,1,1,0,0,0
,This is what you need!,5,HIGH,1,0,0,0,0
,Like staying at Buckingham Palace,5,HIGH,1,0,0,0,0
,Birthday celebration for a landmark age,5,HIGH,1,0,0,0,0
,Lovely stay.,4,HIGH,1,0,0,0,0
,Superb venue- shame about the kippers!,5,HIGH,1,0,2,0,0
,Best Hotel I have stayed at in the U.K.,4,HIGH,1,0,1,0,0
,perfektes frühstück in der northhall,5,HIGH,1,0,0,0,0
,A Real Gem,5,HIGH,1,0,0,0,0
,Amazing 30th birthday treat I will never forget. SPECTACULAR,4,HIGH,1,0,0,0,0
,Historically!,5,HIGH,1,0,2,0,0
,"Mondrian London, sunsets and cocktails",5,HIGH,1,0,0,0,0
,Fab renovations,4,HIGH,1,0,0,0,0
,First Class,4,HIGH,1,0,0,0,0
,Value for money,4,HIGH,1,0,0,0,0
,Simply the best,5,HIGH,1,0,0,0,0
,The WoW Factor,5,HIGH,1,0,0,0,0
,Wimbledon stay,5,HIGH,1,0,0,0,0
,It is okay and safe and clean,5,HIGH,1,0,0,0,0
,ottimo,5,HIGH,1,0,0,0,0
,Amazing British Luxury,5,HIGH,1,0,0,0,0
,Excellent restaurant,5,HIGH,1,0,0,0,0
,Boutique hotel in Knightsbridge,5,HIGH,1,0,0,0,0
,Viaggio a Londra,4,HIGH,1,0,0,0,0
,maar een woord super,5,HIGH,1,0,0,0,0
,Best service anywhere,5,HIGH,1,0,2,0,0
,Exceeds Expectations,5,HIGH,1,0,0,0,0
,Northall Restaurant,4,HIGH,1,0,1,0,0
,What a lovely Old-Worldy hotel,5,HIGH,1,0,0,0,0
,Special Birthday Celebrated in Style !,5,HIGH,1,0,2,0,0
,"Great location, great value, friendly service""",4,HIGH,1,0,0,0,0
,"Excellent, if you can afford it",4,HIGH,1,0,0,1,0
,Excellent service in a lovely hotel,5,HIGH,1,0,2,0,0
,Heavenly stay!,5,HIGH,1,0,1,0,0
,Sublime!,5,HIGH,1,0,0,0,0
,Superbe hôtel,4,HIGH,1,0,0,0,0
,Superb!,5,HIGH,1,0,0,0,0
,Kaspar’s restaurant for lunch,4,HIGH,1,0,0,0,0
,Excellent Stay in London at Rhodes Hotel,5,HIGH,1,0,0,0,0
,Fantastic Birthday stay,5,HIGH,1,0,0,0,0
,Truly The Hotel to Benchmark,5,HIGH,1,0,0,0,0
,Fantastic.,5,HIGH,1,0,0,0,0
,Disappointed,5,HIGH,1,0,0,0,0
,Great modern hotel in central London,5,HIGH,1,0,0,0,0
,The Best in London,5,HIGH,1,0,0,0,0
,<U+041E><U+0442><U+043B><U+0438><U+0447><U+043D><U+044B><U+0439> <U+043E><U+0442><U+0435><U+043B><U+044C>!,5,HIGH,1,0,0,0,0
,Two night stay,5,HIGH,1,0,0,0,0
,The perfect destination,5,HIGH,1,0,1,0,0
,Amazing Food!,5,HIGH,1,0,0,0,0
,Best secret weekend stay in London,5,HIGH,1,0,0,0,0
,Un hotel excelente,5,HIGH,1,0,0,0,0
,Mesmerising,5,HIGH,1,0,0,0,0
,Extremely rude service when trying to cancel reservation,5,HIGH,1,0,0,0,0
,"Great service, great location, great experience",4,HIGH,1,0,1,0,0
,Great hotel,5,HIGH,1,0,0,0,0
,Romantic weekend away,5,HIGH,1,0,0,0,0
,The best,5,HIGH,1,0,0,0,0
,Nice hotel,5,HIGH,1,0,0,0,0
,"Superb hotel, incredible service..",5,HIGH,1,0,0,0,0
,A favourite hotel for plush acoomodations and good service,5,HIGH,1,0,0,0,0
,Wedding,5,HIGH,1,0,0,0,0
,Happy Birthday to me!!!,5,HIGH,1,0,0,0,0
,Lovely Hotel,5,HIGH,1,0,2,0,0
,Not quite perfect but still great,5,HIGH,1,0,0,0,0
,Disappointed returning guest,5,HIGH,1,0,2,0,0
,Excellent Top Quality Hotel And Customer Care,5,HIGH,1,0,0,0,0
,Beautiful hotel but a few issues,5,HIGH,1,1,0,0,0
,LOVE IT!!!,5,HIGH,1,0,0,0,0
,Modern Hip Hotel with a great location,5,HIGH,1,0,0,0,2
,Excellent hotel,5,HIGH,1,0,0,0,0
,relaxed and helpfull,3,LOW,0,0,0,0,0
,Not worth the £55 a night,5,HIGH,1,0,0,0,0
,Londres amigable y grandioso,5,HIGH,1,0,0,0,0
,Refubished room- amazing,5,HIGH,1,0,0,0,0
,"Friendly, lovely hotel",5,HIGH,1,0,1,0,0
,2 Night stay,5,HIGH,1,0,2,0,0
,Another fantastic luxury hotel,5,HIGH,1,0,0,0,0
,Great luxury hotel,5,HIGH,1,0,2,0,0
,excellent rapport qualité prix,4,HIGH,1,0,0,0,0
,Trendy hotel located next to Thames!,5,HIGH,1,0,0,0,0
,Very Enjoyable stay,4,HIGH,1,0,0,0,0
,Tip top drinks in august surrounds,5,HIGH,1,0,0,0,0
,Lovely hotel in a popular location,4,HIGH,1,0,0,0,0
,If only there were 6 stars,5,HIGH,1,0,0,0,0
,Ottimo hotel nella City,5,HIGH,1,0,0,0,0
,Stylish 5 star hotel,5,HIGH,1,0,0,0,0
,Alto livello,5,HIGH,1,0,2,0,0
,We don't recommend this hotel,2,LOW,0,0,0,0,-1
,Fantastic few days stay at the Rembrandt,5,HIGH,1,0,0,0,0
,Ideal base for a city break,5,HIGH,1,0,0,0,0
,Well located for theatre district,4,HIGH,1,0,0,0,0
,Excellent place for our weekend stay!,5,HIGH,1,0,0,0,0
,COME UN LONDINESE,4,HIGH,1,0,0,0,0
,Disabled access,4,HIGH,1,0,0,0,0
,Modern and super convenient,5,HIGH,1,0,1,0,0
,Top class and by no means overpriced,5,HIGH,1,0,0,0,-1
,Wonderful stay,4,HIGH,1,0,1,0,0
,Fantastic experience,5,HIGH,1,0,0,0,0
